,quality
1231,7
2889,6
3715,6
3348,6
517,6
2869,6
1994,6
933,5
628,6
3075,7
3795,6
4150,5
3852,6
134,5
3201,6
3992,7
4149,7
2631,7
354,6
3998,6
2219,7
4500,6
2802,6
3839,5
3295,5
995,6
4673,7
4644,6
1975,6
598,8
999,7
3773,5
1186,5
10,5
2462,5
730,6
2561,5
4819,6
1644,7
149,6
4492,6
1219,8
4130,6
3302,6
4038,5
3021,4
4608,7
3390,6
1292,6
176,4
4745,3
3755,6
1282,5
1162,7
170,6
3012,6
2414,4
4169,7
2333,8
3611,6
4253,4
2773,7
332,6
1771,6
449,7
1286,7
3424,6
948,4
3400,6
3239,7
4717,6
3835,5
1705,6
4840,7
2932,6
1311,6
1887,5
2090,5
79,5
3066,5
3937,5
571,7
1414,6
2614,5
1529,6
1216,8
1665,8
1643,7
2855,7
1843,6
3126,7
1083,6
2148,5
3165,6
1202,5
180,6
3659,8
3693,7
3319,5
3347,6
4559,7
782,7
39,5
2684,6
3789,6
2768,6
3495,7
1922,5
2902,5
2756,6
1552,7
3534,5
2825,6
3423,5
4518,6
2086,5
3312,7
930,7
2946,6
1974,5
18,6
2576,5
854,7
4405,5
2573,5
1483,4
1344,8
4838,6
1449,6
1363,4
1676,7
2303,5
107,6
1107,7
725,5
3985,6
390,7
2727,6
3976,7
3549,6
1950,5
2677,6
1489,5
4097,6
1778,8
2804,8
4058,6
3173,8
3905,7
2755,5
4200,6
4783,6
4454,6
3274,5
1093,7
2805,6
1421,6
2999,7
798,6
2053,5
3040,5
3820,5
1556,6
1808,5
2389,8
3307,3
1237,5
922,6
1144,5
4630,7
1293,4
439,5
3151,6
3513,6
424,7
4519,6
3822,6
3817,6
630,5
3110,6
2808,6
1658,5
1960,5
535,5
1364,5
1763,6
3132,6
3940,5
808,6
3938,6
902,5
896,6
4456,5
1582,7
3442,7
3271,7
2166,5
1977,6
3232,5
552,7
1814,7
4152,6
238,7
1329,5
1679,5
3090,6
4321,6
285,5
940,5
363,6
3722,5
1151,5
4098,5
4027,5
2736,6
4106,5
1854,7
4701,6
687,4
1955,5
3213,6
2703,5
2628,6
4306,6
4780,5
2740,6
3252,8
2638,6
2780,5
1551,6
4280,6
1840,5
1900,6
2321,5
4513,6
4868,6
1376,6
1050,5
2775,8
3932,8
2593,5
1767,5
4049,6
760,6
2276,6
4082,6
932,6
1261,6
4283,6
1409,6
4629,7
2915,6
152,6
4367,5
4036,5
1537,6
4884,5
3744,7
2074,6
2769,5
2387,4
3135,6
1377,6
276,6
1852,7
2353,7
1015,5
1226,7
4284,6
2485,6
1823,6
2073,5
584,7
801,5
4400,5
4190,6
200,5
430,5
1519,5
4778,6
2866,7
1321,6
3267,6
4217,4
682,6
1670,6
2079,4
4690,6
3771,6
3970,7
2246,4
1369,5
3488,6
4881,6
545,6
1821,5
4562,7
4549,5
1245,4
2970,5
547,6
2914,6
3359,6
3321,6
3873,5
1650,7
3118,7
2766,6
1295,6
1713,6
3059,6
1669,6
387,5
4770,6
2051,5
3576,5
1504,8
2105,5
3408,6
1722,6
1024,6
4710,7
4576,5
471,5
1970,6
4824,5
258,6
2075,5
3241,7
91,5
4175,7
4554,6
2748,8
4158,7
1966,6
4206,6
967,6
3641,6
60,6
93,7
497,6
376,7
2008,5
1591,6
1255,6
1232,7
2393,6
4722,6
502,6
2442,5
1561,5
3185,6
3888,6
4460,6
4171,5
4726,6
689,7
2488,6
1038,7
1141,5
1615,6
2903,6
1641,6
4272,6
2927,7
4383,6
2279,5
194,5
3243,7
126,5
1518,6
614,5
2812,6
3784,6
2340,6
4063,5
2918,6
1367,5
3741,7
3733,6
1741,6
4795,7
2995,6
737,5
3730,6
201,5
1984,8
1405,4
934,5
2911,5
2998,7
2789,5
4639,6
1400,7
1918,6
2509,5
939,7
2777,6
2620,5
4329,5
4890,6
3094,6
3658,7
1793,5
4509,5
2616,7
3350,6
322,6
3843,7
2216,5
189,4
4631,7
4885,6
2718,6
2622,7
2243,5
260,6
147,4
3699,5
2861,6
2421,5
3410,7
4800,7
2030,6
1805,5
3926,6
750,6
4065,8
2423,6
2478,6
402,5
1689,6
1740,6
2532,4
1531,7
2529,5
4232,6
2686,6
525,6
908,4
548,7
385,7
973,7
2517,6
4128,5
3480,8
411,6
1521,5
4889,6
4422,6
32,6
2859,6
931,5
2139,5
4446,6
2343,5
431,5
123,6
3086,7
251,3
2842,6
2438,5
1921,5
95,6
2627,7
3619,6
464,5
4176,6
3413,6
92,7
4830,6
2050,3
1841,7
3875,7
1584,6
1205,5
4598,6
1866,6
2274,7
2931,8
3361,6
2670,7
2407,6
4805,6
4374,5
3212,5
3631,6
461,5
1834,6
2583,7
3966,6
3698,6
389,7
4708,6
953,5
3223,6
1063,5
329,5
2578,7
3221,6
1361,7
1928,6
2451,5
1694,6
3858,6
4649,5
2633,5
2248,6
2355,7
1174,6
4538,6
278,4
207,4
553,7
1619,8
2257,6
97,7
4634,6
3415,7
3446,6
2313,7
3405,6
832,8
2528,6
1253,7
203,6
2939,8
2189,6
4469,6
25,6
2159,4
2157,6
4218,6
2634,5
3917,5
2832,6
1310,6
4349,5
3182,5
688,6
2011,5
4433,5
1717,6
3098,7
2210,7
4021,5
3047,5
2968,5
481,6
3247,6
1218,8
4412,7
4464,5
2759,6
4762,7
235,6
3708,5
786,6
3502,5
328,6
2935,4
1491,5
1780,5
1246,7
863,6
2133,6
2266,5
947,5
2598,5
894,7
393,6
1657,6
638,5
1106,8
2020,6
1681,6
4174,6
3296,5
3552,6
3675,6
4676,6
1951,4
710,5
2158,6
3501,6
3668,5
3085,6
2872,7
3826,6
146,6
87,6
4590,6
40,6
3404,6
4605,6
2417,5
1871,6
1266,8
2588,7
2841,6
3218,4
3628,6
793,7
1933,5
904,8
1568,6
1164,6
1239,5
1541,4
4017,6
2933,6
4336,8
4738,6
4825,6
1765,5
1089,7
4674,7
1480,6
3366,6
567,5
1829,7
925,5
3630,6
827,9
372,5
2034,5
2218,6
1368,6
2770,7
667,6
2694,6
2658,7
3485,7
3571,4
4635,6
1009,6
563,7
3013,6
2582,7
4827,6
1420,4
1335,6
3530,5
4545,6
1351,7
2237,4
2033,5
2285,5
4831,6
4587,6
1731,6
1784,7
2919,5
3667,8
705,5
1707,5
1288,7
1640,5
1957,6
2836,6
2941,5
3877,5
4298,6
962,6
1890,5
1820,6
4066,6
3313,7
2081,5
664,6
1963,6
2673,6
3801,6
2153,6
2810,7
2405,5
1059,4
765,6
4386,6
4179,5
3685,6
311,8
2101,6
645,5
2711,5
2388,4
893,7
4132,5
857,5
4607,6
432,7
3447,6
3997,7
173,7
4264,6
4546,6
3559,4
2996,8
2592,5
2787,5
103,5
987,6
935,5
4683,6
2717,6
2019,6
145,6
988,5
2882,5
4326,5
4034,5
2336,5
660,5
2774,8
2821,5
1417,3
4380,6
3637,7
3240,6
494,6
3490,7
3451,7
4479,5
2194,6
2067,5
886,6
640,7
479,6
3965,4
3162,7
2077,6
636,7
1330,5
3242,6
1792,6
1229,3
2025,5
3656,7
2543,6
4574,7
3841,6
3335,6
1682,7
2702,5
1171,5
4850,6
2120,5
1371,7
2835,6
3260,6
3263,8
3197,6
2269,6
920,7
4855,6
3740,7
1277,5
1698,6
1565,6
3833,6
3383,6
148,7
1567,5
4798,5
4707,6
649,7
4622,7
1742,6
2682,6
761,6
3395,5
111,5
1886,5
4879,6
4125,5
351,7
4358,5
3288,6
3083,7
2653,5
480,5
2240,5
2901,7
1003,7
1779,8
4846,6
4539,5
1898,6
1342,6
4801,7
924,8
4199,6
809,6
3428,6
1462,6
1775,6
3900,5
2281,6
2654,5
4275,6
2519,5
1837,7
3792,6
377,7
4733,6
1195,6
4580,6
1439,5
135,5
2098,6
2510,6
4870,7
1224,7
1992,5
4301,5
2955,5
2838,7
2606,6
2706,6
2743,6
2526,7
4728,6
3340,6
2064,6
2818,4
4394,6
1012,6
3433,7
2875,6
26,6
4184,7
1020,7
2301,5
2886,5
1803,6
4521,5
1725,6
1200,6
4008,6
1484,3
2082,6
3750,7
1173,5
4486,6
4001,5
2273,5
12,5
699,5
4525,6
1148,6
2188,6
2843,6
1813,6
2316,7
1510,5
2848,5
971,7
4347,7
1991,8
3318,7
2632,5
1488,6
4436,6
1760,6
429,5
2878,6
2434,6
3725,6
914,4
3882,5
4593,6
3819,6
3886,6
2299,7
3818,6
1436,5
2104,5
3505,7
4572,7
4297,6
4274,6
1152,4
4222,4
3178,6
2004,6
24,6
1142,5
1516,6
1982,8
3097,5
804,6
3316,6
3503,7
1223,5
928,5
1811,5
2728,6
2816,5
2508,6
974,6
4007,5
2428,6
1096,6
427,5
1347,7
3072,6
3249,7
4888,5
2339,6
4116,6
1653,6
4864,5
2898,5
3117,7
578,7
57,6
3585,7
2444,5
1958,6
3635,6
989,7
348,6
3738,6
686,7
2883,7
4067,5
314,5
1901,5
3777,6
3690,7
1976,5
1894,5
4645,7
1478,6
1263,6
1434,5
4711,6
1732,5
4350,6
3867,5
3896,6
4084,8
4124,7
2554,7
4376,5
1485,6
3710,5
2156,4
3665,8
5,6
2679,6
1656,5
2369,6
367,6
1632,8
1845,5
4314,7
2713,6
4718,6
324,5
20,8
3533,6
3070,8
3324,6
3275,4
466,6
3779,7
4668,7
1062,5
2475,5
1192,6
2971,5
1481,6
876,9
740,3
3,6
2137,5
4687,6
2124,7
3283,6
317,5
181,5
3437,5
842,7
1530,5
1163,6
4303,6
1819,6
1067,7
4330,5
3245,5
2913,5
4784,5
1832,7
4204,6
2084,6
3486,6
4772,5
4641,6
4379,5
3300,5
2493,4
4013,6
2696,6
4808,5
3130,6
1157,6
993,4
4031,5
1373,6
3977,6
2724,6
1987,5
4828,5
4307,7
4553,6
2594,7
53,6
3838,5
1597,6
1800,6
1396,7
4473,5
231,6
587,7
17,8
3277,7
3785,7
1827,6
2749,6
2109,6
3332,7
302,6
374,7
3195,6
1149,5
52,7
2652,7
41,6
2687,5
271,5
273,5
4359,6
763,6
44,6
48,6
319,6
4552,6
1983,8
1256,6
3023,6
3398,5
2149,6
4657,7
3857,6
1502,5
2700,7
487,6
2917,7
4155,5
980,6
3518,5
1989,7
4535,6
1668,7
4504,5
3325,7
467,6
1340,6
4269,5
4594,6
3273,7
4416,5
1925,6
3257,6
4628,6
1706,6
1150,5
4337,8
3030,8
954,6
3109,4
3745,7
477,6
1611,6
2356,6
538,5
4719,6
2446,5
3376,6
4185,5
3954,5
4093,6
1194,6
1691,7
2657,7
952,6
4126,5
2054,5
1754,6
4564,7
493,6
797,6
4340,8
2007,6
2119,4
2287,5
3845,5
1735,6
604,6
3434,6
54,6
4281,5
1241,7
1054,5
412,5
4323,6
1235,5
1284,7
4534,6
918,6
3662,4
814,6
3198,7
1169,6
65,5
906,4
3959,6
1557,6
2985,7
2426,6
1475,6
4862,6
3461,8
1323,5
694,6
442,8
4451,5
2115,5
3645,6
4686,4
4224,7
261,5
4647,7
3017,6
4789,6
1891,5
239,6
4073,5
783,8
4429,6
3061,5
4148,6
1914,6
3468,8
4791,6
2958,5
2487,6
1542,6
2150,6
2039,5
2080,5
338,5
4510,6
843,7
1230,6
1990,4
4345,6
2174,7
595,7
4387,6
2065,5
2954,7
419,6
1801,5
1320,6
3607,6
847,5
4753,6
1004,6
119,5
4724,6
1683,7
1603,7
1809,6
3416,6
1574,4
3964,5
2796,7
229,5
3941,5
958,7
2135,5
3194,5
1124,5
2253,5
3973,4
1466,6
1289,6
1129,7
1318,6
1909,5
644,5
198,5
3149,6
2066,5
2138,5
696,6
223,6
2942,5
4876,7
3687,5
665,5
3175,6
4516,6
1559,4
1459,6
1715,8
4361,6
4392,5
2522,8
3908,7
2202,5
1939,5
680,5
3355,6
1892,5
3994,7
1333,8
4196,6
2659,6
1069,6
1429,5
3298,6
164,5
712,6
453,7
4141,6
125,6
3620,7
1474,4
2892,5
2854,6
574,7
2798,7
1971,7
1500,7
704,6
1243,7
1622,6
659,4
2961,6
3558,6
4720,5
1690,4
1873,5
1221,7
969,7
3393,6
4248,6
295,6
36,5
4704,6
1114,4
1128,5
2160,6
358,6
2454,5
2720,7
4851,5
2167,7
1548,6
1110,7
1859,6
1907,7
3669,7
1822,7
519,5
3895,6
2456,6
3735,6
641,4
1513,6
2891,6
3087,3
210,5
2371,5
1709,5
500,6
1786,7
698,5
1213,6
3981,7
2480,5
4532,6
3421,8
1554,7
4471,6
1838,6
3504,7
4768,6
4397,5
3392,6
1222,6
2394,5
599,7
4748,5
29,7
1058,6
3028,6
2678,5
3522,5
3663,6
2929,6
4151,6
1649,4
305,6
2069,7
2288,5
820,9
3545,6
2063,5
3190,7
8,6
130,5
1391,6
4897,6
1002,6
2779,5
4011,7
3333,6
1712,6
3544,6
3289,5
1039,5
3823,5
2015,6
108,6
2542,5
2467,6
2324,5
620,5
1249,5
1296,6
4115,6
1507,6
2144,6
1182,5
1274,6
2440,5
2403,6
2862,6
2107,6
1127,7
1608,5
440,7
3105,6
1673,5
726,7
3961,5
1702,4
4087,6
3020,6
566,6
4302,6
4894,5
4816,6
2131,6
2947,6
2507,7
3616,5
2752,6
541,5
1021,7
3217,5
2345,6
796,6
4005,6
4529,6
518,6
3692,7
4419,6
3385,6
3930,6
2621,5
4325,5
1264,5
3071,7
2261,6
2972,6
15,7
4834,7
1544,5
3409,3
3788,5
794,5
245,6
4714,7
1315,6
955,5
3889,6
4018,6
2697,5
4694,7
1525,5
2464,5
985,6
759,7
544,6
289,7
3088,6
246,7
3342,5
3506,6
4536,6
1401,6
4304,6
4483,4
3493,7
2057,7
1799,6
4333,8
3827,5
643,5
601,6
220,5
1639,5
1651,6
129,6
3569,6
3723,7
4715,6
4444,6
1734,6
669,5
4895,6
1308,6
2154,4
1789,7
4136,6
2099,5
1337,5
120,5
3727,7
193,5
3426,6
3191,6
2761,5
433,4
2797,5
1540,6
1522,5
2448,6
2791,5
3811,5
768,7
288,7
4769,6
4159,7
2249,5
4685,5
3778,7
1524,6
434,8
3768,6
1687,7
1191,7
3356,6
4775,6
1360,6
4317,7
909,5
2618,7
834,6
3389,7
3147,6
4508,4
2516,6
472,6
4348,6
3700,5
684,5
2400,4
3384,6
3844,6
3478,6
451,5
1259,6
2908,6
2899,5
1450,6
3160,6
4278,4
2689,6
4111,6
259,4
4595,6
4068,6
2118,6
4091,6
1693,5
4265,6
4077,6
3643,6
2338,5
1660,6
4430,5
1972,5
2643,5
316,6
399,6
1648,5
2205,5
3787,5
2106,5
392,6
175,6
3626,5
3899,5
3531,5
2272,6
1411,6
758,7
3633,6
1514,7
1422,5
3264,6
3950,5
1876,6
4161,7
4110,5
23,5
2449,6
2491,5
4040,5
945,7
658,5
1553,7
2877,5
2762,5
2390,8
400,6
3204,5
2595,5
3444,5
3120,6
1757,5
1666,5
356,6
1828,6
4095,6
1796,5
2719,6
4699,5
2363,5
1115,8
4189,5
2155,5
2422,5
3666,7
1850,7
368,6
3876,5
1097,7
1366,6
845,8
1339,6
2916,6
3618,7
3866,6
561,5
263,6
4839,4
2688,6
3972,6
521,5
831,4
4270,6
4691,7
2692,6
823,6
159,8
1738,5
4090,6
778,7
3593,7
4056,5
3430,6
3113,6
3901,4
4443,5
1457,6
1433,6
2222,7
520,5
1911,6
4183,7
1160,6
2546,5
233,6
4168,6
2486,5
2199,6
2372,4
3870,6
2055,6
714,6
2572,5
2038,5
2751,6
2626,7
3136,5
2364,5
2433,6
4187,6
1046,5
1276,7
1719,6
1370,6
564,5
3498,6
1345,8
1835,5
31,6
4542,5
2920,4
655,6
2185,7
833,6
2229,6
3570,6
1736,5
3696,7
2212,6
1586,5
2551,6
4191,5
1268,5
3765,5
1040,4
2604,7
2310,5
296,5
4596,6
806,5
3927,5
4796,7
2290,7
1777,6
975,5
4342,6
1005,6
1212,6
1028,7
651,7
4544,6
3133,6
745,6
270,6
3111,7
3116,7
168,5
4445,6
4332,8
2398,6
1964,5
1406,8
4853,5
70,6
2256,5
425,6
2668,6
1353,5
2944,6
3432,5
3357,7
3031,6
2912,7
1916,5
608,5
3683,6
1167,6
4498,5
1860,6
3979,6
4807,6
2289,7
1053,4
3144,6
2910,5
4089,6
489,6
1123,5
976,6
3334,6
3605,5
3253,8
2395,5
3783,5
812,7
4044,7
3577,7
774,9
3352,6
1875,5
936,5
4131,5
2765,6
3524,6
1532,7
4712,6
3609,6
292,5
1807,6
2061,6
1032,6
1858,5
1750,6
1594,6
4566,5
1903,5
818,5
773,5
4774,4
1718,4
2483,6
956,5
2472,6
3291,8
739,6
2641,5
4085,6
2794,5
3840,6
3627,5
1573,5
2662,6
4555,5
3836,6
2419,5
1198,6
1305,7
871,5
4599,7
2036,6
3183,6
2897,5
1326,6
3829,7
1122,7
1818,6
2701,5
1764,5
2392,7
986,6
4351,6
242,7
4233,6
388,6
2176,5
3268,6
4758,6
4752,7
3141,7
3794,5
2737,7
1047,5
1209,6
3346,6
2928,7
2329,5
205,5
2793,7
1109,4
4627,6
4045,7
2242,5
3679,7
4588,5
2666,7
788,7
4335,8
4026,6
2896,5
1399,6
3001,7
4734,6
2031,5
3438,5
4276,7
2983,6
609,6
4563,7
1711,5
539,6
4122,6
3074,5
417,5
470,6
3304,7
4841,6
169,5
4312,6
184,5
3673,7
826,6
4619,5
4702,6
4652,5
3717,6
1404,5
2980,7
3842,6
2305,7
4779,4
4123,6
1051,6
2466,5
4236,5
1930,6
3500,7
1382,6
2597,6
326,6
4689,6
85,6
1576,6
702,4
2563,5
3743,7
1120,6
3539,6
2147,5
1380,7
3554,6
1724,6
2991,7
1831,7
1022,8
499,4
3881,6
3131,5
3306,7
697,5
2436,5
4338,8
2296,7
2477,7
2013,6
2943,8
275,6
864,5
622,6
4006,6
3892,5
2844,5
1356,6
1314,6
4797,6
530,6
3475,6
3406,6
84,5
1068,7
2636,5
2840,6
3512,6
2056,5
215,5
1251,5
3435,6
4836,5
2292,6
2465,5
4339,8
3597,6
3008,7
4506,6
2473,6
2499,6
1659,5
1244,5
1441,5
3824,7
2427,6
4080,6
885,7
586,6
3613,6
1853,5
3805,6
2639,6
3051,5
4651,7
161,5
16,6
2132,6
3910,6
751,6
3308,6
1997,6
4474,6
3125,5
3272,7
4832,5
3457,7
3790,5
4427,5
632,6
2721,5
3909,7
1862,7
131,7
983,6
303,6
1272,5
3583,6
3460,6
4438,5
2521,7
4410,5
3208,5
534,6
3814,5
1533,6
822,5
2550,5
3912,7
527,6
3780,5
3499,7
190,6
807,6
789,6
3983,6
4201,6
122,5
2447,6
4786,8
3957,5
837,8
3749,6
1517,6
3650,4
4470,6
2938,8
4235,5
2357,5
4865,6
2940,6
4487,6
2359,5
4002,6
1000,7
1381,7
1589,6
1458,6
187,5
216,5
3702,6
1993,6
166,6
3496,7
4267,7
1685,7
3661,6
2523,5
3479,7
1967,7
2681,6
1680,5
2645,7
3651,6
2354,6
4395,5
391,5
2714,6
2729,7
3936,6
3281,6
272,5
4818,6
1113,5
3507,7
898,6
266,6
671,6
3137,6
905,4
927,7
4880,6
1979,6
532,6
1759,5
3606,5
2651,5
3595,7
2575,6
1064,6
4829,7
4074,4
191,5
4749,6
355,6
3115,6
3617,5
4660,6
2375,6
3462,6
4363,5
3849,5
4823,7
3284,6
875,7
313,6
3196,7
2006,6
3010,5
1961,5
4665,6
2003,6
1728,5
3553,6
3046,6
4561,6
2731,5
1092,6
3579,7
917,6
1804,6
250,4
1225,6
2291,6
3138,6
3537,5
852,7
2092,5
1031,6
179,6
373,6
35,5
549,5
4463,6
1855,6
3642,6
2136,6
1996,6
157,7
3566,6
3649,6
3237,7
2549,5
2094,5
3331,6
912,5
1041,5
1920,7
2341,5
2569,6
4891,6
3855,6
491,7
672,8
4730,5
738,7
3759,6
219,5
1872,5
1587,6
2203,5
1695,6
720,5
1988,6
2399,6
889,7
2615,7
45,7
4852,5
454,7
3057,5
3112,5
4310,6
1534,6
3897,6
113,5
1190,6
3050,4
2479,6
49,5
1624,7
3077,5
4393,6
1768,5
3310,7
3251,6
646,4
204,4
1826,5
403,5
4481,5
1607,7
2826,6
2059,5
474,6
3159,6
3594,7
1895,6
1743,6
2032,6
3572,6
2527,6
2900,6
3904,7
128,7
4051,6
1885,6
3828,6
4614,5
4515,6
4366,6
3592,7
1242,7
4210,6
2306,5
1563,6
410,6
1596,5
2607,6
2041,5
1635,6
3225,7
1806,5
1912,6
3831,5
222,7
2169,7
1388,7
3290,5
3931,6
